request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10621000 today. After this payment, the balance stays above the IDR 13994300 minimum throughout the next 90 days."
request_206,1404.7,not_affordable,not_recommended,none,2025-08-03,none,The full EUR 1404.7 cannot be completed safely within 90 days. The maximum safe amount today is EUR 1404.7.
request_207,6065.4,not_affordable,not_recommended,none,2026-07-15,none,The full ZAR 11830 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 6065.4.
request_208,3890135.68,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Wait until 2024-06-15 to pay IDR 4413000 in full. The balance is projected to support the full amount safely by then.
request_209,1808.74,not_affordable,not_recommended,none,2026-01-15,none,The full ZAR 56914 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 1808.74.
request_210,971.01,not_affordable,not_recommended,none,2026-04-15,none,The full USD 1360.02 cannot be completed safely within 90 days. The maximum safe amount today is USD 971.01.
request_211,479.4,not_affordable,not_recommended,none,2024-09-15,none,The full EUR 1788.6 cannot be completed safely within 90 days. The maximum safe amount today is EUR 479.4.
request_212,6437358.19,not_affordable,not_recommended,none,,none,The full IDR 71934000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 6437358.19.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use installment plan payment_option_610. The balance stays above USD 2100 throughout the payment schedule.
request_214,69330.64,not_affordable,not_recommended,none,2024-12-15,none,The full INR 69750 cannot be completed safely within 90 days. The maximum safe amount today is INR 69330.64.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use installment plan payment_option_616. The balance stays above ZAR 15700 throughout the payment schedule.
request_216,632.41,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,Wait until 2026-09-15 to pay USD 3332.4 in full. The balance is projected to support the full amount safely by then.
request_217,21558.59,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Use installment plan payment_option_622. The balance stays above ZAR 26800 throughout the payment schedule.
request_218,27553020.13,not_affordable,not_recommended,none,2025-08-15,none,The full IDR 61142000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 27553020.13.
request_219,0,not_affordable,not_recommended,none,,none,The full EUR 1673.1 cannot be completed safely within 90 days. The maximum safe amount today is EUR 0.
request_220,289.84,not_affordable,not_recommended,none,,none,The full EUR 3118.5 cannot be completed safely within 90 days. The maximum safe amount today is EUR 289.84.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109800 today. After this payment, the balance stays above the INR 81500 minimum throughout the next 90 days."
request_222,34078,not_affordable,not_recommended,none,2026-01-05,none,The full ZAR 34078 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 34078.
request_223,873.11,affordable_with_plan,full_payment,2024-09-07:898.7,,stop:event_20458,Pay EUR 898.7 today after adjusting spending: stop:event_20458. These changes keep the balance above EUR 800.
request_224,10327000,not_affordable,not_recommended,none,2025-02-04,none,The full IDR 10327000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 10327000.
request_225,11171560.05,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-15,none,Use installment plan payment_option_647. The balance stays above IDR 17670700 throughout the payment schedule.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157000 today. After this payment, the balance stays above the INR 209400 minimum throughout the next 90 days."
request_227,12861.34,not_affordable,not_recommended,none,,none,The full INR 259700 cannot be completed safely within 90 days. The maximum safe amount today is INR 12861.34.
request_228,3750307.39,not_affordable,not_recommended,none,,none,The full IDR 63327000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 3750307.39.
request_229,550.76,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,Use installment plan payment_option_659. The balance stays above EUR 1000 throughout the payment schedule.
request_230,3537.6,not_affordable,not_recommended,none,2025-08-06,none,The full EUR 3537.6 cannot be completed safely within 90 days. The maximum safe amount today is EUR 3537.6.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Use installment plan payment_option_666. The balance stays above ZAR 24300 throughout the payment schedule.
request_232,797.65,not_affordable,not_recommended,none,2024-07-15,none,The full EUR 1970.1 cannot be completed safely within 90 days. The maximum safe amount today is EUR 797.65.
request_233,0,not_affordable,not_recommended,none,,none,The full IDR 6241000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 0.
request_234,303.47,not_affordable,not_recommended,none,2026-08-15,none,The full EUR 1213.3 cannot be completed safely within 90 days. The maximum safe amount today is EUR 303.47.
request_235,967.2,not_affordable,not_recommended,none,2024-09-06,none,The full USD 967.2 cannot be completed safely within 90 days. The maximum safe amount today is USD 967.2.
request_236,6420638.01,not_affordable,not_recommended,none,,none,The full IDR 52383000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 6420638.01.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23826000 today. After this payment, the balance stays above the IDR 22431500 minimum throughout the next 90 days."
request_238,663.6,not_affordable,not_recommended,none,2024-12-07,none,The full USD 663.6 cannot be completed safely within 90 days. The maximum safe amount today is USD 663.6.
request_239,208.01,not_affordable,not_recommended,none,,none,The full USD 642 cannot be completed safely within 90 days. The maximum safe amount today is USD 208.01.
request_240,22540,not_affordable,not_recommended,none,,none,The full INR 101200 cannot be completed safely within 90 days. The maximum safe amount today is INR 22540.
request_241,21052000,not_affordable,not_recommended,none,2024-03-03,none,The full IDR 21052000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 21052000.
request_242,0,not_affordable,not_recommended,none,,none,The full EUR 1966.8 cannot be completed safely within 90 days. The maximum safe amount today is EUR 0.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17468 today. After this payment, the balance stays above the ZAR 19900 minimum throughout the next 90 days."
request_244,49918,not_affordable,not_recommended,none,2024-06-04,none,The full ZAR 49918 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 49918.
request_245,38788.88,not_affordable,not_recommended,none,2025-12-15,none,The full INR 128500 cannot be completed safely within 90 days. The maximum safe amount today is INR 38788.88.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use installment plan payment_option_710. The balance stays above ZAR 39300 throughout the payment schedule.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1059.3 today. After this payment, the balance stays above the EUR 1300 minimum throughout the next 90 days."
request_248,1026.8,affordable_with_plan,partial_payment,2025-02-07:1026.8|2025-03-15:938.8,2025-03-15,none,Pay USD 1026.8 today and the remaining USD 938.8 on 2025-03-15. This keeps the balance above USD 1300 throughout.
request_249,178.93,not_affordable,not_recommended,none,2026-02-15,none,The full USD 643.2 cannot be completed safely within 90 days. The maximum safe amount today is USD 178.93.
request_250,0,not_affordable,not_recommended,none,,none,The full ZAR 124278 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 0.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,The full EUR 1513.6 cannot be completed safely within 90 days. The maximum safe amount today is EUR 1513.6.
request_252,6188297.21,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Wait until 2026-08-15 to pay IDR 28082000 in full. The balance is projected to support the full amount safely by then.
request_253,1636.96,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-04-15,none,Use installment plan payment_option_729. The balance stays above EUR 2300 throughout the payment schedule.
request_254,824.45,not_affordable,not_recommended,none,2025-09-15,none,The full USD 3535.2 cannot be completed safely within 90 days. The maximum safe amount today is USD 824.45.
request_255,3345000,not_affordable,not_recommended,none,2026-04-06,none,The full IDR 3345000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 3345000.
request_256,180215.52,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,Use installment plan payment_option_737. The balance stays above INR 168600 throughout the payment schedule.
request_257,436.82,not_affordable,not_recommended,none,2025-11-15,none,The full USD 1352.4 cannot be completed safely within 90 days. The maximum safe amount today is USD 436.82.
request_258,1113.6,not_affordable,not_recommended,none,2026-01-07,none,The full USD 1113.6 cannot be completed safely within 90 days. The maximum safe amount today is USD 1113.6.
request_259,206.98,affordable_later,wait,2024-11-15:935,2024-11-15,none,Wait until 2024-11-15 to pay EUR 935 in full. The balance is projected to support the full amount safely by then.
request_260,10650879.71,affordable_with_plan,partial_payment,2025-02-06:10650879.71|2025-03-15:41428120.29,2025-03-15,none,Pay IDR 10650879.71 today and the remaining IDR 41428120.29 on 2025-03-15. This keeps the balance above IDR 20727700 throughout.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1830.4 today. After this payment, the balance stays above the EUR 1500 minimum throughout the next 90 days."
request_262,9236000,not_affordable,not_recommended,none,2024-12-05,none,The full IDR 9236000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 9236000.
request_263,10291.96,not_affordable,not_recommended,none,,none,The full ZAR 51546 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 10291.96.
request_264,26863.74,not_affordable,not_recommended,none,2026-05-15,none,The full INR 111300 cannot be completed safely within 90 days. The maximum safe amount today is INR 26863.74.
request_265,45970,not_affordable,not_recommended,none,2024-03-06,none,The full INR 45970 cannot be completed safely within 90 days. The maximum safe amount today is INR 45970.
request_266,784.16,not_affordable,not_recommended,none,2025-10-15,none,The full EUR 935 cannot be completed safely within 90 days. The maximum safe amount today is EUR 784.16.
request_267,1726.21,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,Use installment plan payment_option_767. The balance stays above EUR 1500 throughout the payment schedule.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use installment plan payment_option_770. The balance stays above EUR 1400 throughout the payment schedule.
request_269,0,not_affordable,not_recommended,none,,none,The full ZAR 15490 cannot be completed safely within 90 days. The maximum safe amount today is ZAR 0.
request_270,255.68,not_affordable,not_recommended,none,2026-09-15,none,The full USD 3028.8 cannot be completed safely within 90 days. The maximum safe amount today is USD 255.68.
request_271,26659.34,affordable_later,wait,2024-10-15:91300,2024-10-15,none,Wait until 2024-10-15 to pay INR 91300 in full. The balance is projected to support the full amount safely by then.
request_272,6128654.63,not_affordable,not_recommended,none,2025-03-15,none,The full IDR 13585000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 6128654.63.
request_273,10756514.78,not_affordable,not_recommended,none,2026-04-15,none,The full IDR 15861000 cannot be completed safely within 90 days. The maximum safe amount today is IDR 10756514.78.
request_274,2500.78,not_affordable,not_recommended,none,2024-12-15,none,The full EUR 2713.7 cannot be completed safely within 90 days. The maximum safe amount today is EUR 2500.78.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15884000 today. After this payment, the balance stays above the IDR 12760100 minimum throughout the next 90 days."
